sector,week,return_5d,return_10d,speech_count,return_time
Auto,2017-10-30/2017-11-05,-0.003064628139766,-0.00937835468328505,1,~2 Weeks
Auto,2017-11-06/2017-11-12,-0.0033159314859456997,0.01953214222437365,4,~2 Weeks
Auto,2017-11-13/2017-11-19,0.02670610435565189,0.03645082890031716,9,~1 Week
Auto,2017-11-20/2017-11-26,0.005938163215511336,0.014607278419748035,7,1-2 Weeks
Auto,2017-11-27/2017-12-03,0.013937888883602301,0.03001259249518325,4,1-2 Weeks
Auto,2017-12-04/2017-12-10,0.040572477111827904,0.10745474169626774,1,1-2 Weeks
Auto,2017-12-11/2017-12-17,0.05722103289473213,0.0500099182972199,2,~1 Week
Auto,2018-01-15/2018-01-21,0.016485883714601343,-0.0255159585171015,1,1-2 Weeks
Auto,2018-02-12/2018-02-18,-0.03935140523374865,-0.0212060495701425,1,~1 Week
Auto,2018-02-19/2018-02-25,0.0276336531267772,0.0033995749258724497,1,~1 Week
Auto,2018-02-26/2018-03-04,-0.0372679484144487,-0.01864630972552605,2,~1 Week
Auto,2018-03-05/2018-03-11,0.0117844194297434,0.0012029925599393245,2,~1 Week
Auto,2018-03-26/2018-04-01,0.03253820607725165,0.06085362956760425,1,1-2 Weeks
Auto,2018-04-02/2018-04-08,0.010296557443904925,0.005847503240749676,2,~1 Week
Auto,2018-04-16/2018-04-22,-0.0028742641959913504,-0.023929621149812452,2,~2 Weeks
Auto,2018-04-30/2018-05-06,0.00633974332655915,-0.0255740273356042,1,~2 Weeks
Auto,2018-05-07/2018-05-13,-0.01371584630392535,-0.0351214655806867,1,1-2 Weeks
Auto,2018-05-14/2018-05-20,-0.016064311534757864,0.001162728910685899,3,~1 Week
Auto,2018-05-21/2018-05-27,0.02414112659355725,0.0382415499447833,1,1-2 Weeks
Auto,2018-05-28/2018-06-03,0.0328922243879831,0.0359484826569147,1,~1 Week
Auto,2018-06-18/2018-06-24,-0.0217007882597047,0.0052149973954492,1,~1 Week
Auto,2018-06-25/2018-07-01,0.027366641139661647,0.0465168130134194,1,1-2 Weeks
Auto,2018-07-16/2018-07-22,0.010016779116370849,-0.00686917984619705,2,~1 Week
Auto,2018-08-20/2018-08-26,0.0011949701052847502,-0.018129471621557702,1,~2 Weeks
Auto,2018-09-10/2018-09-16,-0.040056333697437996,-0.1190134150104212,1,~2 Weeks
Auto,2018-09-24/2018-09-30,-0.08880456975594425,-0.05483367676965155,1,~1 Week
Auto,2018-10-01/2018-10-07,-0.062338083037828895,-0.05408920891480234,3,~1 Week
Auto,2018-10-15/2018-10-21,-0.03407717931400606,-0.025794375994997603,3,~1 Week
Auto,2018-10-22/2018-10-28,0.0127395534085281,0.08227062592420314,1,~2 Weeks
Auto,2018-11-05/2018-11-11,-0.00495278982099385,0.012206924366923649,1,1-2 Weeks
Auto,2018-11-12/2018-11-18,0.009124017424053261,0.028772201277634548,8,~2 Weeks
Auto,2018-11-19/2018-11-25,0.028351148779939,-0.01719421608408435,2,~1 Week
Auto,2018-11-26/2018-12-02,0.0012088074682106782,-0.02111429067531684,9,~2 Weeks
Auto,2018-12-03/2018-12-09,-0.0006558209345519432,0.03192291360879974,7,~2 Weeks
Auto,2018-12-10/2018-12-16,-0.00466665748225,-0.014771286588333349,3,~2 Weeks
Auto,2018-12-17/2018-12-23,-0.022475657392691348,-0.05910091149592955,1,1-2 Weeks
Auto,2019-01-07/2019-01-13,-0.010642055777859299,-0.04616289696018525,2,~2 Weeks
Auto,2019-01-28/2019-02-03,0.011110630266263249,-0.030715642441768602,1,1-2 Weeks
Auto,2019-02-04/2019-02-10,-0.03487550559322123,-0.039554981280912345,3,~1 Week
Auto,2019-02-11/2019-02-17,-0.03606239645309392,-0.009645998910412725,2,~1 Week
Auto,2019-02-18/2019-02-24,0.00978070950278535,0.04268407733135435,3,~2 Weeks
Auto,2019-02-25/2019-03-03,0.0237142676352649,0.0421296598988766,2,1-2 Weeks
Auto,2019-03-04/2019-03-10,0.01362806400361685,-0.051592867256927945,2,~2 Weeks
Auto,2019-03-11/2019-03-17,-0.0293585004029949,-0.07063291306164834,2,1-2 Weeks
Auto,2019-03-25/2019-03-31,0.056401320085428315,0.08740018341933481,6,1-2 Weeks
Auto,2019-04-01/2019-04-07,0.02952502317435051,0.05216131408118405,4,1-2 Weeks
Auto,2019-04-08/2019-04-14,0.016448251635737023,-0.04759996751860421,5,~2 Weeks
Auto,2019-04-15/2019-04-21,-0.059112449753102154,-0.0900047154827283,1,~1 Week
Auto,2019-04-29/2019-05-05,-0.01975347248275935,-0.030193925079983024,2,~1 Week
Auto,2019-05-06/2019-05-12,-0.008856810579939913,0.04645329851476151,7,~2 Weeks
Auto,2019-05-13/2019-05-19,0.05712466563500195,0.05162672302116702,8,~1 Week
Auto,2019-05-20/2019-05-26,0.005929892294938862,-0.00041080319751621297,4,~1 Week
Auto,2019-05-27/2019-06-02,-0.0002522582611015874,-0.01987350989026006,4,~2 Weeks
Auto,2019-06-03/2019-06-09,-0.018417434026785102,-0.074089107825751,3,~2 Weeks
Auto,2019-06-10/2019-06-16,-0.047590781159430315,-0.04219190320389655,4,~1 Week
Auto,2019-06-17/2019-06-23,0.0103168254864912,0.0077852392418934005,2,~1 Week
Auto,2019-06-24/2019-06-30,0.0019057140498478686,-0.05979191656927122,8,~2 Weeks
Auto,2019-07-01/2019-07-07,-0.06439263343537956,-0.0725526526057433,4,~1 Week
Auto,2019-07-08/2019-07-14,-0.00505062572339327,-0.05214816449963625,5,~2 Weeks
Auto,2019-07-15/2019-07-21,-0.05870173695988415,-0.11518542277377411,1,1-2 Weeks
Auto,2019-07-22/2019-07-28,-0.025917169741343452,0.023659034012207,1,~1 Week
Auto,2019-08-05/2019-08-11,0.0136090931157498,0.068400103868351,1,~2 Weeks
Auto,2019-08-19/2019-08-25,-0.0009625131035634346,-0.003047474373211649,3,~2 Weeks
Auto,2019-08-26/2019-09-01,-0.061528259498088406,0.0182641185490114,1,~1 Week
Auto,2019-09-02/2019-09-08,0.06760356479716094,0.04270823413750185,7,~1 Week
Auto,2019-09-16/2019-09-22,0.08988861059261821,0.05278139140818006,3,~1 Week
Auto,2019-09-23/2019-09-29,-0.027089238223431383,-0.016703468727396316,10,~1 Week
Auto,2019-09-30/2019-10-06,-0.012555395259942231,0.06278333307412343,8,~2 Weeks
Auto,2019-10-07/2019-10-13,0.05980682734227081,0.11041471670185432,5,1-2 Weeks
Auto,2019-10-14/2019-10-20,0.039834727074651764,0.0577476993327238,6,~1 Week
