sector,quarter,return_5d,return_10d,speech_count,return_time
Pharma,2017Q4,0.0028384074203070923,0.009402487628406541,35,~2 Weeks
Pharma,2018Q1,-0.019681778006277274,-0.03786812688809857,8,1-2 Weeks
Pharma,2018Q2,-0.009935447229480716,0.011168101100830564,13,~1 Week
Pharma,2018Q3,6.44977301007597e-05,0.01493370358771555,5,~2 Weeks
Pharma,2018Q4,-0.03682341172493104,-0.05120185642848165,38,~1 Week
Pharma,2019Q1,0.004525095895908119,0.011633307787395228,23,1-2 Weeks
Pharma,2019Q2,-0.01631174386109005,-0.02010039267170614,52,~1 Week
Pharma,2019Q3,-0.010447305207722225,-0.015530297938588214,36,~1 Week
Pharma,2019Q4,0.007284437143446143,0.021871792075128734,60,~2 Weeks
Pharma,2020Q1,0.0008869339623828512,0.005445554378094419,18,~2 Weeks
Pharma,2020Q2,0.014184854620868804,0.018834291848059716,12,~1 Week
Pharma,2020Q3,0.007176652669055406,0.0033269144829036,16,~1 Week
Pharma,2020Q4,0.010082830015530085,0.02902884609396106,47,~2 Weeks
Pharma,2021Q1,0.012093237415499591,0.012739730669135108,23,~1 Week
Pharma,2021Q2,0.0077369367221386915,0.007321981024436235,17,~1 Week
Pharma,2021Q3,0.021467211762348136,0.01730217953810144,14,~1 Week
Pharma,2021Q4,-0.008980855510302607,-0.013679465676096495,49,~1 Week
Pharma,2022Q1,-0.001445599761263603,0.015177904116030774,10,~2 Weeks
Pharma,2022Q2,-0.006424861914128228,-0.010630380155779662,12,1-2 Weeks
Pharma,2022Q3,0.00016463468827214434,0.006570302790309236,18,~2 Weeks
Pharma,2022Q4,-0.004437317011534523,-0.0017333418757259414,42,~1 Week
Pharma,2023Q1,-0.0007104174511576521,-0.00463092264481122,25,~2 Weeks
Pharma,2023Q2,0.0073553262736992505,0.01588283740220199,25,1-2 Weeks
Pharma,2023Q3,0.005924343827297767,0.011752085444784226,18,1-2 Weeks
Pharma,2023Q4,0.00778480620140673,0.01783662046987111,60,1-2 Weeks
Pharma,2024Q1,0.014881039667567117,0.022614708673056202,26,~1 Week
Pharma,2024Q2,-0.005007749683362946,-0.005532231560698547,39,~1 Week
Pharma,2024Q3,0.01083534855640623,0.022264909940262124,28,1-2 Weeks
Pharma,2024Q4,0.002852981256936113,0.008575138095428153,42,~2 Weeks
Pharma,2025Q1,-0.020836903394005783,-0.0196766318428449,28,~1 Week
Pharma,2025Q2,0.007533991738489025,0.008777180017233164,42,~1 Week
Pharma,2025Q3,-0.006766870017864646,0.003947943020812595,24,~1 Week
Pharma,2025Q4,0.007121172204248128,0.012661708780331246,53,1-2 Weeks
Pharma,2026Q1,-0.008483678859724744,-0.006928618376642809,58,~1 Week
Pharma,2026Q2,0.0013436075696032501,-0.00429951967035775,6,~2 Weeks
